addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x00138bD67465733AE1BEDfD2105a6ffa83AF97D8,[A16],,,,,,_
0x0033B3926db9C84a4dB255c15b995D50FfF0A568,[B5],,,,,,_
0x0033FB5561719b8b697b604466D6D39308C58191,[A2][A6][B1][B7],,,,,,_
0x0033fd5819c111E5BE558C52BD42fDc7481A94f1,[B4][B5][B6],,,,,,_
0x0039019392b1Ea93cD1277F75986fdF2407FE254,[A2][A6][B1],,,,,,_
0x003f79D7Be15dC1aD90Ce00E6eA68F335e2B789B,[A6],,,,,,_
0x00416B9d728069eDB0cEb04bC2b203fA7336d1F1,[B4][B5][B6],,,,,,_
0x00430f32B8e77A456d0Ab7E6f1Dc1B84F4ae62E0,[A2][A6][A8][B1][B7],,,,,,_
0x004Dcfc79b28Ae0D52C2C013a328f84b433a1829,[A6],,,,,,_
0x0061FDE3dC2ec7a24B1E9683E94dB91FD52Ab709,[B4][B5][B6],,,,,,_
0x0064fbb3f58dE455a07B674b9eF6Da96553EF9Be,[B1][B7],,,,,,_
0x006B4425bA57148466c0c54aF1c484348a14A8A4,[B4][B5][B6],,,,,,_
0x00712a531e207Ad77E42586FB81E9fb8F68F0A7d,[B4][B5][B6],,,,,,_
0x00765EaABedBC0eC71e922178B5cF6f5632EC324,[B1][B2][B3],,,,,,_
0x007DF6aD281CBbb9e0E9373654fe588b2Bd3B9Af,[B1][B7],,,,,,_
0x007fa227D5d693F7f29e27B1FA028fd2051Ed072,[B1][B2][B3],,,,,,_
0x008D3c9e91F8aBFF45F39eb71b316A0606C6d378,[B1][B7],,,,,,_
0x008E42C4e21119Bd4147De2853AEFb39689bfB1e,[B6],,,,,,_
0x00A4B757cB0B7cff002fCF075D896a77daC533D4,[B6],,,,,,_
0x00A9F7D093C46D95F0318e4A6fFc6Ed68F73044C,[B1][B2][B3],,,,,,_
0x00B9034425e357bF61b4ABEb22299EC4A62C725B,[A2][A6][B1][B7],,,,,,_
0x00E9bCfaB52C108505411849faBA90e83c98101b,[B1][B2][B3],,,,,,_
0x00FA44D91D7541D16DD18A48dd6A011de5E887DF,[B4][B5][B6],,,,,,_
0x00f90986CDD79744409F8a3c7747064AFa4473b5,[B1][B2][B3],,,,,,_
0x010583963f3AE4929253975eBD6bab0066870828,[B1][B2][B3],,,,,,_
0x011D9dFB4681f2d2245bBB04edd6A9EEdF361e5c,[B1][B2][B3],,,,,,_
0x012bc399c3E8B75A506c9ff2B7ad413641F33102,[A6][B4][B5][B6],,,,,,_
