addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x014B50466590340D41307Cc54DCee990c8D58aa8,[B6],ICOS,ICOS,@HitBTC@Tidex,560417,6,_
0x01fF50f8b7f74E4f00580d9596cd3D0d6d6E326f,[B7],BF Token,BFT,@Ethfinex@Gate.io@Huobi,1000000000,18,_
0x04F2E7221fdb1B52A68169B25793E51478fF0329,[B7],Cappasity,CAPP,@Cryptopia@Idex@KuCoin,562462096,2,_
0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27,[B7],Zilliqa,ZIL,@Abucoins@Binance@BiteBTC@Bithumb@Bitpaction@CoinEx@Cryptobulls@FEX@ForkDelta@Gate.io@GoPax@HitBTC@Huobi@Idex@Koinok@Kryptono@KuCoin@Kyber Network@OKEx@OOOBTC@Upbit@Zebpay,12600000000,12,_
0x08f5a9235B08173b7569F83645d2c7fB55e8cCD8,[B7],Tierion Network Token,TNT,@BigONE@Binance@ForkDelta@Gate.io@HitBTC@Huobi@Idex@Liqui@YoBit,1000000000,8,_
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,[A2],Dignity,DIG,@Livecoin,3000000000,8,_
0x0AfFa06e7Fbe5bC9a764C979aA66E8256A631f02,[B7],Polybius Token,PLBT,@HitBTC@Livecoin@Mercatox@YoBit,3969564,6,_
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,[B1][B7],Intelligent Trading Technologies,ITT,@COSS@IDEX@Mercatox,11500000,8,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,[A2][A4][A6][B1][B7],Internet Node Token,INT,@CoinEgg@ForkDelta@OKEx,1000000000,6,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,[A2][A6][B1][B7],SwftCoin,SWFTC,@CoinBene@HitBTC@Huobi@OEX@OKEx@OTCBTC,10000000000,8,_
0x0d88eD6E74bbFD96B831231638b66C05571e824F,[B7],aventus,AVT,@Ethfinex@ForkDelta@Gatecoin@HitBTC@Idex@Mercatox@OKEx,10000000,18,_
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,[B7],Genesis Vision Token,GVT,@Binance@ForkDelta@HitBTC@Idex@KuCoin@YoBit,4436643,18,_
0x1234567461d3f8Db7496581774Bd869C83D51c93,[B7],BitClave,CAT,@Bancor Network@Bibox@Coinexchange@HitBTC@KuCoin@OpenLedger DEX@Tidex@YoBit,2000000000,18,_
0x123aB195DD38B1b40510d467a6a359b201af056f,[A7],LGO Token,LGO,@Bibox@ForkDelta@Idex@Octaex,217698062,8,_
0x139d9397274bb9E2C29A9aa8Aa0b5874d30D62E3,[B7],BoutsPro,BOUTS,@ForkDelta@Mercatox@YoBit,2000000000,18,_
0x13f25cd52b21650caa8225C9942337d914C9B030,[B1][B7],realchain token,RCT,@CoinBene@ForkDelta@Idex@OKEx,1000000000,18,_
0x1460a58096d80a50a2F1f956DDA497611Fa4f165,[B7],Chainium,CHX,@Bancor Network@DDEX@HitBTC@Idex@KKCoin,168956522,18,_
0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af,[B1][B2],CoinDash Token,CDT,@BigONE@Binance@Gate.io@Gatecoin@HitBTC@Mercatox,1000000000,18,_
0x17fD666fa0784885fa1AFEc8AC624d9b7e72B752,[B1][B7],FLiK,FLIK,@CoinExchange,600000000,14,_
0x1961B3331969eD52770751fC718ef530838b6dEE,[B7],BitDegree Token,BDG,@Cobinhood@ForkDelta@HitBTC@Idex@Tidex,660000000,18,_
0x1FE70bE734e473e5721ea57C8B5B01e6Caa52686,[B7],RNTB Token,RNTB,@Bit-Z@Exrates@HitBTC@YoBit,1000000000,18,_
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,[A2],BCDN,BCDN,@BigONE@Gate.io,1000000000,15,_
0x219218f117DC9348b358b8471c55A073E5e0dA0b,[A2][B1][B7],Gold Reward Token,GRX,@Coinexchange@ForkDelta@Idex@Livecoin,20000000,18,_
0x226bb599a12C826476e3A771454697EA52E9E220,[B7],Propy,PRO,@Bittrex@ForkDelta@HitBTC@Huobi@Idex@Liqui@Livecoin@Upbit,100000000,8,_
0x24A77c1F17C547105E14813e517be06b0040aa76,[B1][B2][B3],Live Stars Token,LIVE,@Cryptopia@DDEX@ForkDelta@OpenLedger DEX,200000000,18,_
0x2567c677473d110D75a8360C35309e63B1d52429,[B1][B7],ShareX,SEXC,@Bit-Z@EXX,1000000000,8,_
0x2604FA406Be957E542BEb89E6754fCdE6815e83f,[A8][B7],Playkey Token,PKT,@CoinExchange@HitBTC@Mercatox,19893267,18,_
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,[B1][B7],ERC20,ERC,@ForkDelta@Idex,12079766396,18,_
0x27Dce1eC4d3f72C3E457Cc50354f1F975dDEf488,[B7],AirToken,AIR,@ForkDelta@HitBTC@Idex@Radar Relay,1491492558,8,_
0x27f706edde3aD952EF647Dd67E24e38CD0803DD6,[A10],Useless Ethereum Token,UET,@HitBTC,3965716,18,_
0x286BDA1413a2Df81731D4930ce2F862a35A609fE,[B7],WaBi,WaBi,@Binance@ForkDelta@Idex,100000000,18,_
0x28c8d01FF633eA9Cd8fc6a451D7457889E698de6,[B5],ethereum-gold,ETG,@Coinexchange@ForkDelta@Stocks.Exchange,24000000,0,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,[A2][A6][B1][B7],BitAsean,BAS,@ForkDelta@HitBTC,30000000,8,_
0x2Ef27BF41236bD859a95209e17a43Fbd26851f92,[A14],MORPH,MORPH,@Bancor Network@Cfinex@DDEX@HitBTC@Idex@LATOKEN@Livecoin,151065818,4,_
0x2aE965cd3D2B6D186e87D9586FC3BdBfC667cAcC,[B7],GJC,GJC,,100000000,18,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,[B1][B2][B3],SkinCoin,SKIN,@Cryptopia@ForkDelta@HitBTC@Idex@Mercatox,388183000,6,_
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,[B1],LatiumX,LATX,@ForkDelta@HitBTC@Livecoin@YoBit,300000000,8,_
0x327682779bAB2BF4d1337e8974ab9dE8275A7Ca8,[B7],Blockport Token,BPT,@Idex@KuCoin,69434799,18,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,[B1][B2][B3],Crystal Clear Token,CCT,@ForkDelta@HitBTC@YoBit,6924060,18,_
0x340D2bdE5Eb28c1eed91B2f790723E3B160613B7,[B7],BLOCKv Token,VEE,@Bancor Network@Bittrex@ForkDelta@Idex@OKEx@Radar Relay@Tidex@Upbit,3646271241,18,_
0x3543638eD4a9006E4840B105944271Bcea15605D,[B1][B7],UNetworkToken,UUU,@Bibox@DDEX@Hadax@HitBTC,10000000000,18,_
0x355a458d555151D3B27F94227960Ade1504E526a,[B1],StockChain Coin,SCC,@DDEX@HitBTC,10000000000,18,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,[B1][B2][B3][B4][B5][B6],high-performance-blockchain,HPB,@Bibox@Bit-Z@Idex@KKEX@KuCoin,100000000,18,_
0x39Bb259F66E1C59d5ABEF88375979b4D20D98022,[B7],Wax Token,WAX,@Bancor Network@Bibox@Bithumb@Bittrex@CoinBene@Coinfalcon@Ethfinex@ForkDelta@HitBTC@Huobi@Idex@KuCoin@OpenLedger DEX@Radar Relay@Stocks.Exchange@Tidex@Upbit,1850000000,8,_
0x408e41876cCCDC0F92210600ef50372656052a38,[B7],Republic Token,REN,@Cobinhood@DDEX@ForkDelta@Hadax@Idex@Liqui@OKEx@Tidex,1000000000,18,_
0x4162178B78D6985480A308B2190EE5517460406D,[B7],Colu Local Network,CLN,@Bancor Network@DDEX@ForkDelta@Gatecoin@HitBTC@Idex@Liqui,1540701333,18,_
0x41dBECc1cdC5517C6f76f6a6E836aDbEe2754DE3,[B7],MedToken,MTN,@CoinBene@Ethfinex@Gate.io@Huobi@IDEX@Kucoin@Qryptos,500000000,18,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,[B1][B2][B3],Adshares Token,ADST,@Coinexchange@Cryptopia@ForkDelta@Idex@Mercatox,19379103,0,_
