addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x00138bD67465733AE1BEDfD2105a6ffa83AF97D8,[A16],,,,,,_
0x0033FB5561719b8b697b604466D6D39308C58191,[A6][C1],,,,,,_
0x0039019392b1Ea93cD1277F75986fdF2407FE254,[A2][A6][C1],,,,,,_
0x00430f32B8e77A456d0Ab7E6f1Dc1B84F4ae62E0,[A2][A6][C1],,,,,,_
0x00765EaABedBC0eC71e922178B5cF6f5632EC324,[B2],,,,,,_
0x007fa227D5d693F7f29e27B1FA028fd2051Ed072,[B2],,,,,,_
0x00B9034425e357bF61b4ABEb22299EC4A62C725B,[A6][C1],,,,,,_
0x00E9bCfaB52C108505411849faBA90e83c98101b,[B2],,,,,,_
0x00f90986CDD79744409F8a3c7747064AFa4473b5,[B2],,,,,,_
0x010583963f3AE4929253975eBD6bab0066870828,[B2],,,,,,_
0x011D9dFB4681f2d2245bBB04edd6A9EEdF361e5c,[B2],,,,,,_
0x014B50466590340D41307Cc54DCee990c8D58aa8,[B6],ICOS,ICOS,@HitBTC@Tidex,560417,6,_
0x017214d55f5daaC38f5F7547629f29EAD7Fa1C3C,[A2][A6][C1],,,,,,_
0x01982364172d4C429372F37ACE5d47FE4f71F862,[A10],,,,,,_
0x01C67791309c71aA4Ed373025a0C089696D7c9e4,[B1],,,,,,_
0x01F0634272ecA6c152a3be0EaF385BbDc5a49DC0,[B2],,,,,,_
0x01F2AcF2914860331C1Cb1a9AcecDa7475e06Af8,[A12][A13][A16][A3],,,,,,_
0x01a0939B719213AAbcAA075066fB4b0FB88baE56,[A6][C1],,,,,,_
0x01bbec6573ed7EcA0f307a10d2B4CEB669816B4a,[A16],,,,,,_
0x01dD3a4ab1141c15Ac91FbC7d5Cf167f45B27D09,[B1],,,,,,_
0x01fA9880b33e6c00eAFC866A48D292dbE07B7578,[A6][C1],,,,,,_
0x020357707453376823f2Fa427243d8906e4D8A20,[B1],,,,,,_
0x02135140A3eccE81711460baC817060a6E4a96D7,[B2],,,,,,_
0x025abAD9e518516fdaAFBDcdB9701b37fb7eF0FA,[A2],,,,,,_
0x0290eA3C728981725689187763F6C63a68e192b8,[A2][A6][C1],,,,,,_
0x0298d4D15bC4294386b05E5185D3833fC76924B3,[A16],,,,,,_
0x02c41cdE8a11fcf333277f2Bc543eb2B0925809c,[A16],,,,,,_
0x02eD9B30e7FB4D4E06495c96810aeb2FAc8b2989,[B1][B2],,,,,,_
0x03209BdE47dA583547C17c47e7CA74bFa3DFb404,[B1],,,,,,_
0x033d46D15AD9b5653cBE61Be97371023acb11f94,[B1],,,,,,_
0x03806Ce5ef69Bd9780EDFb04c29da1F23Db96294,[B1],,,,,,_
0x03834852F2889ddF286104bc771371C764be1fC6,[B1],,,,,,_
0x040a05E50007873f8D527B2e4E63C41Bf723665d,[A16],,,,,,_
0x041B3eb05560Ba2670DEF3Cc5eeC2AeEF8e5D14b,[A12][A13][A16],,,,,,_
0x047187e53477be70DBe8Ea5B799318f2e165052F,[A16],,,,,,_
0x04E7eeFd4F5831409cd7fdd0821bDE32d9C800c5,[B2],,,,,,_
0x04Ed15Fa8C47778589C1BF3451e0DE25C1EeD3aE,[A6][C1],,,,,,_
0x04a4B43352a78294Bc7b6D520450825Ac639Ea21,[A6][C1],,,,,,_
0x050663fA3f625E9aCcf534FB188BCB1dcA0579B5,[B2],,,,,,_
0x052d01d58729839b0FB9e321c63cAf4F7a3De7FE,[B2],,,,,,_
0x054Ad3Cd4A66F14bF5C0De2548A53BE66995A4f6,[A6][C1],,,,,,_
0x0566c17dC2a9eFcAA2F63E04cf06A69e8fC77f60,[A6][C1],,,,,,_
0x059468db0af9a1C0079ee0fC1d5773Aec585cC72,[B1],,,,,,_
0x05E1F62C2F3C0aB2acBACb5F9a2E4b53da5c64E6,[B1],,,,,,_
0x05Fa56dAf3C7496854bf685E7f3F435f87589e58,[A6][C1],,,,,,_
0x062d6eC3099208Fd4A0e0Ce4773E81F2B322d9d4,[B2],,,,,,_
0x06308B924dC8Fe805BD28d3170B7c8b9909E4EBa,[A1],,,,,,_
0x0661f61A286eB1F4383c5128b3178A6809eEBF6c,[B2],,,,,,_
0x066420fF2aF331b3F7c1a5925121e068c69614dF,[A10],,,,,,_
0x0675DAa94725A528b05A3A88635C03EA964BFA7E,[A2],,,,,,_
0x0694d5EDA9d49D371f47aAf8f94dbcfe44D54405,[B3],,,,,,_
0x06Cd2eEF7497911037ed631CAe1ecb307B4D4de1,[A6][C1],,,,,,_
0x06F726f750dd2a140A3f3bBE1fa58B624b361a33,[A6][C1],,,,,,_
0x070C9244a54353a0F9c43670b21856Df2CC4e439,[A2][A6][C1],,,,,,_
0x075a5d77E17502ABa0388746aA229BB33682f521,[B2],,,,,,_
0x0763EA00a235DaDdFf3Ed5B0F03ff414577E0173,[A16],,,,,,_
0x0778Cc2E8bBAd3d483E82371606D100cc8604522,[B1],,,,,,_
0x07BA910f747b472Ba4840c184F6b6E92B0e7495e,[B1],,,,,,_
0x07Ec6c3159c2336Ba36Ab41f73411f8fEe430470,[B1],,,,,,_
0x086D6C602E769599143637cA1F2D71d0E8db59Ce,[A16],,,,,,_
0x08AA638F04C9658fc9A5712E794e27A4c6B561E8,[B2],,,,,,_
0x08C5A77bF3D3bF96FcaD0f17d5A44f013f983aF1,[B1],,,,,,_
0x08DDf9bEFBD9d9B5a6caAB525eCf8C8CCA0b9840,[B2],,,,,,_
0x08c1A513A230F4cfc219896713B4DBE22B433E16,[A16],,,,,,_
0x08e836f7d4804D39E798B6459FA54543f260d4C0,[A2][A6][C1],,,,,,_
0x08f63c012Ad7A1CfAaDDd401a34c5e8E31167a55,[B1],,,,,,_
0x08fd34559F2ed8585d3810B4D96Ab8A05c9f97c5,[B2],,,,,,_
0x090fC358FA1a992C083590c7dd33Ad5208A02e9d,[A1],,,,,,_
0x09133d5AcFF2353d3860F1dc455589A941cF5EBd,[B1],,,,,,_
0x09263d1A5ed92E2576B455A409676CFBc4f7D275,[A6][C1],,,,,,_
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,[A2],Dignity,DIG,@Livecoin,3000000000,8,_
0x096F4002747bde03416Dc979E8a9bAb48CF8ED85,[A2][A6],,,,,,_
0x09fE365076429a478F8b5391DE59c362d3AB5004,[A2][A6],,,,,,_
0x0ACd8381190a3506407ac5e7409A9205E3AA1a08,[A2][A6],,,,,,_
0x0AdCaE90088fAe1007555733B4D3d63f24f4A2a3,[B1][B2],,,,,,_
0x0B24fDf35876bbE2A1cC925321B8c301017474D4,[A2][A6],,,,,,_
0x0B4cE72A70e87BEe66e0f43E9c861366e9D7DE19,[A10],,,,,,_
0x0B9E9c56eC900FBeA85546444458d3C31Ab60572,[B2],,,,,,_
0x0BDBc0748bA09fBE9e9ED5938532E41446c2f033,[A2],,,,,,_
0x0C244b55c31327b76d595179d81527aA94ffE4E7,[A2][A6],,,,,,_
0x0D324B2e732c35162b99BAFc63E35b16E6ec54cD,[A16],,,,,,_
0x0D44b2757F1b6C742Ff8707F6eb298A7DA1981af,[A16],,,,,,_
0x0D6f4cef46F23877A930C2d782cc275C978bC1eE,[A2][A6],,,,,,_
0x0D70dB256Cae067326EB63C09583Afddf75F117b,[B1],,,,,,_
0x0DAf4CD0d8F3132Ca5eb256aBbE03d45DbbAf7C4,[C1],,,,,,_
0x0DfB5D0960a40DAE7cAcE8820e55AFcDD4A9d5Ab,[B1],,,,,,_
0x0E1dA7630e962EC7306581B33D99D050622262B5,[B2],,,,,,_
0x0E6FC41039de5413f7Cb9D2165248d41891BED89,[B1],,,,,,_
0x0Eb152d2bba8aF722D7E296A1F223d819C3bbB1f,[A2][A6],,,,,,_
0x0Ec4207AA379dFcd9239e987530b95a55178e5eB,[A1],,,,,,_
0x0Ed74A3ECc90270D18a3b3A8eB0042a7Cdd03B19,[B1],,,,,,_
0x0Ef27C7606a021457F161859d4952396AFF9A92B,[B1],,,,,,_
0x0Fc05C36C5cC95B516A696bdB4b9dFAfCA3A397F,[B1],,,,,,_
0x0a2a94Ded0b8C9cB3BD4Ec2ef86eeEE637A4Db7C,[B1],,,,,,_
0x0a9Aa2003215BfBc6caf9a49256e9F4EC42b3c3D,[A2][A6],,,,,,_
0x0aaC84eF458e67758A2991a769d979981cD41fc4,[B1][B2],,,,,,_
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,[B1],Intelligent Trading Technologies,ITT,@COSS@IDEX@Mercatox,11500000,8,_
0x0b03F47040aDe1A693342b14A76127Ef040903DB,[B2],,,,,,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,[A2][A4][A6][B1],Internet Node Token,INT,@CoinEgg@ForkDelta@OKEx,1000000000,6,_
0x0b9caB17883e721888c22b2Bcb5A00f91A711989,[B1],,,,,,_
0x0bB664f7b6FC928B2d1e5aA32182Ae07023Ed4aA,[B1],,,,,,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,[A2][A6][B1],SwftCoin,SWFTC,@CoinBene@HitBTC@Huobi@OEX@OKEx@OTCBTC,10000000000,8,_
0x0bf4Ee4a8E49965D89AeD61FA63Fb203950E24c5,[B1],,,,,,_
0x0c37198BA896a0988f1ae289cd9D2B28428b038C,[B1],,,,,,_
0x0cf2887C3Ec7Bf6BDB79fc6EBE0BC0a98A6D2593,[B2],,,,,,_
0x0d276A2f26A4F508276739BA7F4716eb6ee2EA27,[A2][A6],,,,,,_
0x0d547f8B8d7201523A834AddBB27E40140Ee6F18,[B1],,,,,,_
0x0e935E976A47342a4AeE5e32Ecf2E7B59195e82F,[A2][A6],,,,,,_
0x0e9C4d8610Aa2cf0DaBDAbB19920A1C810B65720,[A2][A6][B1],,,,,,_
0x0f81a937cE3E7bB95eDb14b81951e93e68fcDa50,[A2][A6],,,,,,_
0x0f9b1d1D39118480cf8B9575419eA4E5189C88DD,[A2][A6],,,,,,_
0x107bc486966eCdDAdb136463764a8Eb73337c4DF,[B2],,,,,,_
0x10E32d84D8bD44B68e99c6fE147ef2ba63E6Ae22,[B1],,,,,,_
0x10E886BAcD4A12C21Bb39646751374Eae495B776,[A2][A6][B1],,,,,,_
0x10c0337c42843E0b8CE743d7D5fF39b711f3aD82,[A2],,,,,,_
0x11132271d2f1525618D7578e36F996dE0712C174,[A16],,,,,,_
0x118770Fae5b614552b85FDB5297eB3ed5b5eCCdd,[A2][A6],,,,,,_
0x11D635bbba3f9B8f7C9b91cA9f315a2207cb5AD5,[A16],,,,,,_
0x11e44037A60dA9b76Bf928b33d3D6DED0A6730ab,[B1][B2],,,,,,_
0x11e62440475536fA49C0A42c83b6E2C9AF84Ae3A,[B1],,,,,,_
0x11ebb7657054338c58c076cBbC527A0df927C24d,[A2][A6][B1],,,,,,_
