addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x014B50466590340D41307Cc54DCee990c8D58aa8,[B6],ICOS,ICOS,@HitBTC@Tidex,560417,6,_
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,[A2],Dignity,DIG,@Livecoin,3000000000,8,_
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,[B1],Intelligent Trading Technologies,ITT,@COSS@IDEX@Mercatox,11500000,8,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,[A2][A4][A6][B1],Internet Node Token,INT,@CoinEgg@ForkDelta@OKEx,1000000000,6,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,[A2][A6][B1],SwftCoin,SWFTC,@CoinBene@HitBTC@Huobi@OEX@OKEx@OTCBTC,10000000000,8,_
0x123aB195DD38B1b40510d467a6a359b201af056f,[A7],LGO Token,LGO,@Bibox@ForkDelta@Idex@Octaex,217698062,8,_
0x13f25cd52b21650caa8225C9942337d914C9B030,[B1],realchain token,RCT,@CoinBene@ForkDelta@Idex@OKEx,1000000000,18,_
0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af,[B1][B2],CoinDash Token,CDT,@BigONE@Binance@Gate.io@Gatecoin@HitBTC@Mercatox,1000000000,18,_
0x17fD666fa0784885fa1AFEc8AC624d9b7e72B752,[B1],FLiK,FLIK,@CoinExchange,600000000,14,_
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,[A2],BCDN,BCDN,@BigONE@Gate.io,1000000000,15,_
0x219218f117DC9348b358b8471c55A073E5e0dA0b,[A2][B1],Gold Reward Token,GRX,@Coinexchange@ForkDelta@Idex@Livecoin,20000000,18,_
0x24A77c1F17C547105E14813e517be06b0040aa76,[B1][B2][B3],Live Stars Token,LIVE,@Cryptopia@DDEX@ForkDelta@OpenLedger DEX,200000000,18,_
0x2567c677473d110D75a8360C35309e63B1d52429,[B1],ShareX,SEXC,@Bit-Z@EXX,1000000000,8,_
0x2604FA406Be957E542BEb89E6754fCdE6815e83f,[A8],Playkey Token,PKT,@CoinExchange@HitBTC@Mercatox,19893267,18,_
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,[B1],ERC20,ERC,@ForkDelta@Idex,12079766396,18,_
0x27f706edde3aD952EF647Dd67E24e38CD0803DD6,[A10],Useless Ethereum Token,UET,@HitBTC,3965716,18,_
0x28c8d01FF633eA9Cd8fc6a451D7457889E698de6,[B5],ethereum-gold,ETG,@Coinexchange@ForkDelta@Stocks.Exchange,24000000,0,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,[A2][A6][B1],BitAsean,BAS,@ForkDelta@HitBTC,30000000,8,_
0x2Ef27BF41236bD859a95209e17a43Fbd26851f92,[A14],MORPH,MORPH,@Bancor Network@Cfinex@DDEX@HitBTC@Idex@LATOKEN@Livecoin,151065818,4,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,[B1][B2][B3],SkinCoin,SKIN,@Cryptopia@ForkDelta@HitBTC@Idex@Mercatox,388183000,6,_
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,[B1],LatiumX,LATX,@ForkDelta@HitBTC@Livecoin@YoBit,300000000,8,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,[B1][B2][B3],Crystal Clear Token,CCT,@ForkDelta@HitBTC@YoBit,6924060,18,_
0x3543638eD4a9006E4840B105944271Bcea15605D,[B1],UNetworkToken,UUU,@Bibox@DDEX@Hadax@HitBTC,10000000000,18,_
0x355a458d555151D3B27F94227960Ade1504E526a,[B1],StockChain Coin,SCC,@DDEX@HitBTC,10000000000,18,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,[B1][B2][B3][B4][B5][B6],high-performance-blockchain,HPB,@Bibox@Bit-Z@Idex@KKEX@KuCoin,100000000,18,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,[B1][B2][B3],Adshares Token,ADST,@Coinexchange@Cryptopia@ForkDelta@Idex@Mercatox,19379103,0,_
0x4270bb238f6DD8B1c3ca01f96CA65b2647c06D3C,[B1],FOTA,FOTA,@ForkDelta@HitBTC@Idex@KuCoin@TopBTC,1000000000,18,_
0x4355fC160f74328f9b383dF2EC589bB3dFd82Ba0,[B1][B2],Opus Token,OPT,@ForkDelta@HitBTC@Idex,249308531,18,_
0x449574C69f3A658794829eD81639A7A9ECe041E1,[B5],neo-gold,NEOG,@Mercatox,100000000,0,_
0x461733c17b0755CA5649B6DB08B3E213FCf22546,[A15][A16],atn,ATN,@Allcoin@BigONE@Hotbit@RightBTC,210000000,18,_
0x46b9Ad944d1059450Da1163511069C718F699D31,[B1],CREDITS,CS,@COSS@CoinBene@DDEX@ForkDelta@Gate.io@Idex@KKCoin@KuCoin@Lbank@Mercatox@Simex@Tidex,249471071,6,_
0x48DF4E0296f908CEAb0428A5182D19B31fC037d6,[B1],Fitrova,FRV,@Bancor Network@COSS@Coinexchange@Sistemkoin,7588648240,8,_
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,[A2],Amber Token,AMB,@Binance@Coinrail@ForkDelta@Gatecoin@HitBTC@Idex@KuCoin@Livecoin@Mercatox,361477437,18,_
0x4aF328C52921706dCB739F25786210499169AFe6,[B1],Sakura Bloom,SKB,@Neraex@Stocks.Exchange,6000000000,8,_
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,[A6][B1],PolyAi,AI,@C-CEX@Coinexchange@ForkDelta@Mercatox@Trade Satoshi,29000000,18,_
0x52DB8ebF894036ec997Da693C5fa237A4fb69d10,[B1],Curriculum Vitae,CVH,@HitBTC,1900000000,18,_
0x55296f69f40Ea6d20E478533C15A6B08B654E758,[B1],XY Oracle,XYO,@DDEX@ForkDelta@Idex,14198877959,18,_
0x55F93985431Fc9304077687a35A1BA103dC1e081,[A12][A13][A16][A3],SmartMesh Token,SMT,@Gate.io@HitBTC@Huobi@OKEx@YoBit,3141592653,18,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,[B1][B2][B3],BlockCAT Token,CAT,@Cryptopia@ForkDelta@Idex@Radar Relay,9200151,18,_
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,[A2][B2],Legends,LGD,@Bittrex,30000000,8,_
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,[B1],IOT on Chain,ITC,@Bibox@CoinBene@Coinrail@DDEX@Huobi@Idex@KuCoin@OKEx,100000000,18,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,[B1][B3],CUBE,AUTO,@HitBTC@Idex@OKEx,7200000000,18,_
0x62a56a4A2Ef4D355D34D10fBF837e747504d38d4,[B5],paypex,PAYX,@Token Store,150000000,2,_
0x6Aac8CB9861E42bf8259F5AbDC6aE3Ae89909E11,[A5],Bitcoin Red,BTCR,@Coinexchange@ForkDelta@YoBit,21000000,8,_
0x6aEB95F06CDA84cA345c2dE0F3B7f96923a44f4c,[A16],Berry,BERRY,@DDEX@ForkDelta@HitBTC@Idex,301473027,14,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,[B1][B2][B3],Royal Kingdom Coin,RKC,@Cryptopia,0,18,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,[A2][A6][B1],Pylon Token,PYLNT,@Bit-Z,633858,18,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,[B1][B2][B3],ATLANT Token,ATL,@Exrates@ForkDelta@HitBTC@Idex@Mercatox@OKEx@YoBit,54175040,18,_
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,[B1],AIT,AIT,@BCEX@BigONE,2100000000,18,_
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,[A2],SANtiment network token,SAN,@BitForex@Ethfinex@HitBTC@IDEX@LATOKEN@Liqui@OKEx,83336999,18,_
