addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x22d982a8B875Cc0f8994cd8a4a70872161fdc000,approve-with-balance-verify,,,,,,_
0x2da4bb51E59D0b156B5e19Bb3F8eFf0279E1ffA2,approve-with-balance-verify,,,,,,_
0x4895d0FCb5489434fD856f2942D578EA0C1aED15,approve-with-balance-verify,,,,,,_
0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,approve-with-balance-verify,indaHash Coin,IDH,@Cryptopia@Exrates@HitBTC@Idex@Livecoin@Qryptos@Simex@Tidex,399999999,6,_
0x5B5afaA565ABa14833dE0ceE321e63A807fd407B,approve-with-balance-verify,,,,,,_
0x5Db2d4a2E6D06f9Afe906Fc33036f77EBE87B59B,approve-with-balance-verify,,,,,,_
0x764F558737e8A22A0C86A29F9441BECE349655A6,approve-with-balance-verify,,,,,,_
0x7c697762236311acb0058E22bBAdE100612997BE,approve-with-balance-verify,,,,,,_
0x89Afa608488592Cef2F337F36Eaf4cbfb05D9289,approve-with-balance-verify,,,,,,_
0x8F811657B12F378fEdd85aF591BE8BF8C22DD333,approve-with-balance-verify,,,,,,_
0x92683b8A2dbbC02d1C6303d5b4362a06E46f5616,approve-with-balance-verify,,,,,,_
0x938358f6F7786735CFFBaC3a218F3Be16e496Cf4,approve-with-balance-verify,,,,,,_
0x9BcA936670fbF15165312FAA3c2eeC997e42F4A2,approve-with-balance-verify,,,,,,_
0xB5c2ea13d2Bf1968A10722dC45900c8DA0F78212,approve-with-balance-verify,,,,,,_
0xC8aD4c3Cd4D71c4aac486EC9E5741Dd270B7F5B0,approve-with-balance-verify,,,,,,_
0xE638dc39b6aDBEE8526b5C22380b4b45dAf46d8e,approve-with-balance-verify,,,,,,_
0xdcD85b583f159901ea7E50F6fea38aE09808c7c4,approve-with-balance-verify,,,,,,_
0xeD245191c54DdE17B2ecaA09373DeBA27800a574,approve-with-balance-verify,,,,,,_
