addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x0033fd5819c111E5BE558C52BD42fDc7481A94f1,no-decimals,,,,,,_
0x00416B9d728069eDB0cEb04bC2b203fA7336d1F1,no-decimals,,,,,,_
0x0061FDE3dC2ec7a24B1E9683E94dB91FD52Ab709,no-decimals,,,,,,_
0x006B4425bA57148466c0c54aF1c484348a14A8A4,no-decimals,,,,,,_
0x00712a531e207Ad77E42586FB81E9fb8F68F0A7d,no-decimals,,,,,,_
0x00FA44D91D7541D16DD18A48dd6A011de5E887DF,no-decimals,,,,,,_
0x012bc399c3E8B75A506c9ff2B7ad413641F33102,no-decimals,,,,,,_
0x0167Ea36024d646Ee38062CD07F041e1e1D3a89A,no-decimals,,,,,,_
0x018c4031426917a769fe9964ab2650621642b8d7,no-decimals,,,,,,_
0x01D5d0108589f3C52FCce6e65503BB6515e66698,no-decimals,,,,,,_
0x022125B1ee6DE357AD437807c1e0Ce4daa6c82b3,no-decimals,,,,,,_
0x024cb480C6bf81eeA0067C2682A706E5Da5c6024,no-decimals,,,,,,_
0x025460864660f4651483b07D47c16e52aEb6DD4b,no-decimals,,,,,,_
0x02575cA9424ACd6AED8d8dc1B01fA7175000cEF0,no-decimals,,,,,,_
0x03358425ADa4620246dD703dC1F2246B8e148d22,no-decimals,,,,,,_
0x033Fd9f42F7E1566b893b31078A62B2B959eBD72,no-decimals,,,,,,_
0x03E0F73A93993E5101362656Af1162eD80FB54F2,no-decimals,,,,,,_
0x0470c8C6546e4EB668aEAD38Dc024eC6ab48980e,no-decimals,,,,,,_
0x050163597D9905bA66400f7B3CA8f2ef23DF702D,no-decimals,,,,,,_
0x05196E85fcfE0ED4b7978A83966E6748BA8E60e6,no-decimals,,,,,,_
0x0570318951CFb0e0C4c2af3070C1C040E0E8790B,no-decimals,,,,,,_
0x05dA6b1D4CCc5C9e13926c5405F3a4b88892dEE7,no-decimals,,,,,,_
0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,no-decimals,,,,,,_
0x0605b8eCA9fB798CBA00F87970A62E90448EEDb5,no-decimals,,,,,,_
0x068A37f2b086F1909a65c195FA084006aCD6a79f,no-decimals,,,,,,_
0x06d191C4bC47138d5D79EB881dEeA86c93E6603b,no-decimals,,,,,,_
0x07222Fc4cdACEDfBcfc03CbeD6E72Fb329E8D0b6,no-decimals,,,,,,_
0x0783E1Ab0F36512cA4b1C883A98CBEA98566946D,no-decimals,,,,,,_
0x079a09FDa4eCd57f76a739152e88A8267a86c240,no-decimals,,,,,,_
0x0850b3B0170D6bc5662B743Ba6bB23671EDDf938,no-decimals,,,,,,_
0x08A84018C36eF8F7DAAabbD167eB41b225041453,no-decimals,,,,,,_
