addr,category,name,symbol,info
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,transfer-no-return,Intelligent Trading Technologies,ITT,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,transfer-no-return,Internet Node Token,INT,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,transfer-no-return,SwftCoin,SWFTC,_
0x13f25cd52b21650caa8225C9942337d914C9B030,transfer-no-return,realchain token,RCT,_
0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af,transfer-no-return,CoinDash Token,CDT,_
0x17fD666fa0784885fa1AFEc8AC624d9b7e72B752,transfer-no-return,FLiK,FLIK,_
0x219218f117DC9348b358b8471c55A073E5e0dA0b,transfer-no-return,Gold Reward Token,GRX,_
0x24A77c1F17C547105E14813e517be06b0040aa76,transfer-no-return,Live Stars Token,LIVE,_
0x2567c677473d110D75a8360C35309e63B1d52429,transfer-no-return,ShareX,SEXC,_
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,transfer-no-return,ERC20,ERC,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,transfer-no-return,BitAsean,BAS,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,transfer-no-return,SkinCoin,SKIN,_
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,transfer-no-return,LatiumX,LATX,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,transfer-no-return,Crystal Clear Token,CCT,_
0x3543638eD4a9006E4840B105944271Bcea15605D,transfer-no-return,UNetworkToken,UUU,_
0x355a458d555151D3B27F94227960Ade1504E526a,transfer-no-return,StockChain Coin,SCC,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,transfer-no-return,high-performance-blockchain,HPB,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,transfer-no-return,Adshares Token,ADST,_
0x4270bb238f6DD8B1c3ca01f96CA65b2647c06D3C,transfer-no-return,FOTA,FOTA,_
0x46b9Ad944d1059450Da1163511069C718F699D31,transfer-no-return,CREDITS,CS,_
0x48DF4E0296f908CEAb0428A5182D19B31fC037d6,transfer-no-return,Fitrova,FRV,_
0x4aF328C52921706dCB739F25786210499169AFe6,transfer-no-return,Sakura Bloom,SKB,_
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,transfer-no-return,PolyAi,AI,_
0x52DB8ebF894036ec997Da693C5fa237A4fb69d10,transfer-no-return,Curriculum Vitae,CVH,_
0x55296f69f40Ea6d20E478533C15A6B08B654E758,transfer-no-return,XY Oracle,XYO,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,transfer-no-return,BlockCAT Token,CAT,_
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,transfer-no-return,IOT on Chain,ITC,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,transfer-no-return,CUBE,AUTO,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,transfer-no-return,Royal Kingdom Coin,RKC,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,transfer-no-return,Pylon Token,PYLNT,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,transfer-no-return,ATLANT Token,ATL,_
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,transfer-no-return,AIT,AIT,_
0x82b0E50478eeaFde392D45D1259Ed1071B6fDa81,transfer-no-return,DNA Token,DNA,_
0x8542325B72C6D9fC0aD2Ca965A78435413a915A0,transfer-no-return,Oyster Shell,SHL,_
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,transfer-no-return,Gamechain System,GCS,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,transfer-no-return,Jetcoin,JET,_
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,transfer-no-return,Cryptaur,CPT,_
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,transfer-no-return,Fujinto,NTO,_
0x93E682107d1E9defB0b5ee701C71707a4B2E46Bc,transfer-no-return,MCAP,MCAP,_
0x9720b467a710382A232a32F540bDCed7d662a10B,transfer-no-return,Vezt,VZT,_
0x9E77D5a1251b6F7D456722A6eaC6D2d5980bd891,transfer-no-return,BRAT RED,BRAT,_
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,transfer-no-return,Target Coin,TGT,_
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,transfer-no-return,BNB,BNB,_
0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,transfer-no-return,Aeron,ARN,_
0xC27C95350eCD634C80dF89db0f10cd5c24B7B11f,transfer-no-return,PixieCoin,PXC,_
0xCc34366E3842cA1BD36c1f324d15257960fCC801,transfer-no-return,Bonpay Token,BON,_
0xEF68e7C694F40c8202821eDF525dE3782458639f,transfer-no-return,loopring,LRC,_
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,transfer-no-return,Blocktix Token,TIX,_
0xF433089366899D83a9f26A773D59ec7eCF30355e,transfer-no-return,Metal,MTL,_
0xaE616e72D3d89e847f74E8ace41Ca68bbF56af79,transfer-no-return,Good Karma,∞,_
0xe120c1ECBfdFeA7F0A8f0Ee30063491E8c26fedf,transfer-no-return,Suretly,SUR,_
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,transfer-no-return,PILLAR,PLR,_
0xf05a9382A4C3F29E2784502754293D88b835109C,transfer-no-return,REX - Real Estate tokens,REX,_
