addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x02eD9B30e7FB4D4E06495c96810aeb2FAc8b2989,transferFrom-no-return,,,,,,_
0x0694d5EDA9d49D371f47aAf8f94dbcfe44D54405,transferFrom-no-return,,,,,,_
0x0AdCaE90088fAe1007555733B4D3d63f24f4A2a3,transferFrom-no-return,,,,,,_
0x0aaC84eF458e67758A2991a769d979981cD41fc4,transferFrom-no-return,,,,,,_
0x11e44037A60dA9b76Bf928b33d3D6DED0A6730ab,transferFrom-no-return,,,,,,_
0x190e569bE071F40c704e15825F285481CB74B6cC,transferFrom-no-return,,,,,,_
0x1BEe0Ba6C6dEe64B3eA062Ba2F779E0E8ff4d733,transferFrom-no-return,,,,,,_
0x1Ee6b9d7C9f15aE6e0177273594612448CFEB750,transferFrom-no-return,,,,,,_
0x24A77c1F17C547105E14813e517be06b0040aa76,transferFrom-no-return,Live Stars Token,LIVE,@Cryptopia@DDEX@ForkDelta@OpenLedger DEX,200000000,18,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,transferFrom-no-return,SkinCoin,SKIN,@Cryptopia@ForkDelta@HitBTC@Idex@Mercatox,388183000,6,_
0x31CFA363713884C5642e7249a47762188D144629,transferFrom-no-return,,,,,,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,transferFrom-no-return,Crystal Clear Token,CCT,@ForkDelta@HitBTC@YoBit,6924060,18,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,transferFrom-no-return,high-performance-blockchain,HPB,@Bibox@Bit-Z@Idex@KKEX@KuCoin,100000000,18,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,transferFrom-no-return,Adshares Token,ADST,@Coinexchange@Cryptopia@ForkDelta@Idex@Mercatox,19379103,0,_
0x4B480c1AbeF305C0e21644d083F677405aB8250C,transferFrom-no-return,,,,,,_
0x50dBb89261c38e9f7C1070d1Ec4C266B2E291085,transferFrom-no-return,,,,,,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,transferFrom-no-return,BlockCAT Token,CAT,@Cryptopia@ForkDelta@Idex@Radar Relay,9200151,18,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,transferFrom-no-return,CUBE,AUTO,@HitBTC@Idex@OKEx,7200000000,18,_
0x651f8e09d0Cb5CF823e2bfe91B97cbDE714756D2,transferFrom-no-return,,,,,,_
0x6D56fb76d62bBB01cec94612db6bfAd81bF65F3A,transferFrom-no-return,,,,,,_
0x6DD5b09aCDA78B05D0356483fe05EB0768352945,transferFrom-no-return,,,,,,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,transferFrom-no-return,Royal Kingdom Coin,RKC,@Cryptopia,0,18,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,transferFrom-no-return,ATLANT Token,ATL,@Exrates@ForkDelta@HitBTC@Idex@Mercatox@OKEx@YoBit,54175040,18,_
0x7a3AA244Cb5520Cd40876c604953C269044f6599,transferFrom-no-return,,,,,,_
0x7a93f0d9f302C0818022f8DCa6Ee1Eb0f1b50308,transferFrom-no-return,,,,,,_
0x81b4D08645DA11374a03749AB170836E4e539767,transferFrom-no-return,Paymon Token,PMNT,@HitBTC@Idex,1000000000,9,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,transferFrom-no-return,Jetcoin,JET,@COSS@Coinexchange@ForkDelta@Idex@Mercatox,80000000,18,_
0x91A57B2F6FA86B373Bce5716eb26C81cbb004223,transferFrom-no-return,,,,,,_
0x9e3f0FC2A9eA1Ec8D9e51A7A34c20b777021b030,transferFrom-no-return,,,,,,_
0xB45a50545bEEAB73F38F31E5973768C421805E5E,transferFrom-no-return,TKRToken,TKR,@EtherDelta (ForkDelta)@HitBTC@IDEX,12529746,18,_
0xCc34366E3842cA1BD36c1f324d15257960fCC801,transferFrom-no-return,Bonpay Token,BON,@C-CEX@Coinexchange@Cryptopia@ForkDelta@Mercatox@Novaexchange,21745688,18,_
0xE2E6D4BE086c6938B53B22144855eef674281639,transferFrom-no-return,,,,,,_
0xEF68e7C694F40c8202821eDF525dE3782458639f,transferFrom-no-return,,,,,,_
