addr,category,name,symbol,info
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,[7],Dignity,DIG,_
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,[1],Intelligent Trading Technologies,ITT,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,[1][7],Internet Node Token,INT,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,[1][7],SwftCoin,SWFTC,_
0x13f25cd52b21650caa8225C9942337d914C9B030,[1],realchain token,RCT,_
0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af,[1][2],CoinDash Token,CDT,_
0x17fD666fa0784885fa1AFEc8AC624d9b7e72B752,[1],FLiK,FLIK,_
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,[7],BCDN,BCDN,_
0x219218f117DC9348b358b8471c55A073E5e0dA0b,[1][7],Gold Reward Token,GRX,_
0x24A77c1F17C547105E14813e517be06b0040aa76,[1][2][3],Live Stars Token,LIVE,_
0x2567c677473d110D75a8360C35309e63B1d52429,[1],ShareX,SEXC,_
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,[1],ERC20,ERC,_
0x27f706edde3aD952EF647Dd67E24e38CD0803DD6,[9],Useless Ethereum Token,UET,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,[1][7],BitAsean,BAS,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,[1][2][3],SkinCoin,SKIN,_
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,[1],LatiumX,LATX,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,[1][2][3],Crystal Clear Token,CCT,_
0x3543638eD4a9006E4840B105944271Bcea15605D,[1],UNetworkToken,UUU,_
0x355a458d555151D3B27F94227960Ade1504E526a,[1],StockChain Coin,SCC,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,[1][2][3],high-performance-blockchain,_,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,[1][2][3],Adshares Token,ADST,_
0x4270bb238f6DD8B1c3ca01f96CA65b2647c06D3C,[1],FOTA,FOTA,_
0x4355fC160f74328f9b383dF2EC589bB3dFd82Ba0,[2],Opus Token,OPT,_
0x46b9Ad944d1059450Da1163511069C718F699D31,[1],CREDITS,CS,_
0x48DF4E0296f908CEAb0428A5182D19B31fC037d6,[1],Fitrova,FRV,_
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,[7],Amber Token,AMB,_
0x4aF328C52921706dCB739F25786210499169AFe6,[1],Sakura Bloom,SKB,_
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,[1],PolyAi,AI,_
0x52DB8ebF894036ec997Da693C5fa237A4fb69d10,[1],Curriculum Vitae,CVH,_
0x55296f69f40Ea6d20E478533C15A6B08B654E758,[1],XY Oracle,XYO,_
0x55F93985431Fc9304077687a35A1BA103dC1e081,[4][8][9],SmartMesh Token,SMT,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,[1][2][3],BlockCAT Token,CAT,_
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,[2][7],Legends,LGD,_
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,[1],IOT on Chain,ITC,_
0x5F53f7A8075614b699Baad0bC2c899f4bAd8FBBF,[5],Rebellious,REBL,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,[1][3],CUBE,AUTO,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,[1][2][3],Royal Kingdom Coin,RKC,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,[1][7],Pylon Token,PYLNT,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,[1][2][3],ATLANT Token,ATL,_
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,[1],AIT,AIT,_
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,[7],SANtiment network token,SAN,_
0x81b4D08645DA11374a03749AB170836E4e539767,[2][3],Paymon Token,PMNT,_
0x82b0E50478eeaFde392D45D1259Ed1071B6fDa81,[1][2],DNA Token,DNA,_
0x8542325B72C6D9fC0aD2Ca965A78435413a915A0,[1],Oyster Shell,SHL,_
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,[1],Gamechain System,GCS,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,[1][2][3],Jetcoin,JET,_
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,[1][7],Cryptaur,CPT,_
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,[1],Fujinto,NTO,_
0x93E682107d1E9defB0b5ee701C71707a4B2E46Bc,[1],MCAP,MCAP,_
0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,[7][9],FuturXE,FXE,_
0x9720b467a710382A232a32F540bDCed7d662a10B,[1],Vezt,VZT,_
0x994f0DffdbaE0BbF09b652D6f11A493fd33F42B9,[5],EagleCoin,EAGLE,_
0x9E77D5a1251b6F7D456722A6eaC6D2d5980bd891,[1],BRAT RED,BRAT,_
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,[1][7],Target Coin,TGT,_
0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,[7],CreditBIT,CRB,_
0xB45a50545bEEAB73F38F31E5973768C421805E5E,[2][3],TKRToken,TKR,_
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,[1],BNB,BNB,_
0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,[1],Aeron,ARN,_
0xC27C95350eCD634C80dF89db0f10cd5c24B7B11f,[1],PixieCoin,PXC,_
